# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240729
# 종료일: 20240804
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/,desktop,256,210,149,1.7181208053691275,18.953020134228186,1057,0,0
/global/archives/18546,desktop,256,253,181,1.4143646408839778,50.52486187845304,1046,0,0
/global/archives/category/press-room/financial-results,desktop,208,102,75,2.7733333333333334,33.12,815,0,0
/global/latestnews,desktop,192,180,131,1.465648854961832,25.114503816793892,731,0,0
/global/archives/18608,desktop,149,131,95,1.568421052631579,54.97894736842105,584,0,0
/global/sustainability-report,desktop,103,94,92,1.1195652173913044,3.510869565217391,387,0,0
/global/archives/category/press-room/press-release,desktop,97,86,62,1.564516129032258,22.85483870967742,384,0,0
/global/archives/18065,desktop,65,63,45,1.4444444444444444,54.22222222222222,280,0,0
/global/archives/17426,desktop,59,54,45,1.3111111111111111,24.488888888888887,256,0,0
/global/archives/18546,mobile,49,46,43,1.1395348837209303,13.186046511627907,190,0,0
/global/archives/category/corporates,desktop,47,37,34,1.3823529411764706,17.176470588235293,183,0,0
/global/archives/category/press-room,desktop,47,37,30,1.5666666666666667,14.066666666666666,182,0,0
/global/archives/category/corporates/sk-on,desktop,43,35,28,1.5357142857142858,33.285714285714285,177,0,0
/global/archives/18608,mobile,39,34,34,1.1470588235294117,5.323529411764706,151,0,0
/global/archives/category/press-room/press-release,mobile,35,35,35,1,1,139,0,0
/global/archives/category/corporates/sk-enterm,desktop,33,24,21,1.5714285714285714,8.952380952380953,131,0,0
/global/archives/18478,desktop,30,31,26,1.1538461538461537,42.96153846153846,129,0,0
/global/archives/category/corporates/sk-innovation,desktop,29,24,24,1.2083333333333333,17.416666666666668,112,0,0
/global/archives/18283,desktop,28,25,19,1.4736842105263157,26.789473684210527,108,0,0
/global/archives/16463,desktop,25,26,21,1.1904761904761905,17.571428571428573,110,0,0
/global/archives/category/corporates/sk-enmove,desktop,25,23,19,1.3157894736842106,34.8421052631579,98,0,0
/global/archives/18571,desktop,24,29,23,1.0434782608695652,54.65217391304348,101,0,0
/global/archives/category/insight,desktop,24,20,20,1.2,9.95,94,0,0
/global/archives/15490,desktop,23,23,22,1.0454545454545454,39.31818181818182,103,0,0
/global/archives/15664,desktop,21,18,17,1.2352941176470589,26.470588235294116,81,0,0
/global/archives/15374,desktop,20,20,16,1.25,80.3125,93,0,0
/global/archives/18421,desktop,20,17,15,1.3333333333333333,19.666666666666668,81,0,0
/global/archives/category/people,desktop,20,18,18,1.1111111111111112,7.5,83,0,0
/global/archives/18388,desktop,19,23,18,1.0555555555555556,19.11111111111111,74,0,0
/global/archives/9910,desktop,19,18,14,1.3571428571428572,25.428571428571427,80,0,0
/global/archives/15687,desktop,18,16,12,1.5,19.916666666666668,73,0,0
/global/archives/category/corporates/sk-energy,desktop,18,14,14,1.2857142857142858,15.857142857142858,73,0,0
/global/archives/category/insight/trend_report,desktop,18,15,11,1.6363636363636365,17.454545454545453,71,0,0
/global/archives/18436,desktop,17,19,14,1.2142857142857142,9.071428571428571,72,0,0
/global/archives/3820,desktop,17,16,15,1.1333333333333333,32,69,0,0
/global/archives/category/corporates/sk-rading-international,desktop,17,14,13,1.3076923076923077,9.307692307692308,64,0,0
/global/archives/16532,desktop,16,20,13,1.2307692307692308,42.46153846153846,67,0,0
/global/archives/6216,desktop,16,17,14,1.1428571428571428,22.714285714285715,75,0,0
/global/archives/9740,desktop,16,12,9,1.7777777777777777,295.77777777777777,68,0,0
/global/terms-and-conditions,desktop,16,12,7,2.2857142857142856,79.85714285714286,63,0,0
/global/archives/14491,desktop,15,18,14,1.0714285714285714,43.214285714285715,67,0,0
/global/archives/18140,mobile,15,13,4,3.75,0,44,0,0
/global/archives/18361,desktop,15,13,12,1.25,43.416666666666664,60,0,0
/global/,mobile,14,12,10,1.4,11.5,56,0,0
/global/archives/15259,desktop,14,13,9,1.5555555555555556,41.111111111111114,60,0,0
/global/archives/16834,desktop,14,14,12,1.1666666666666667,17.333333333333332,67,0,0
/global/archives/17499,desktop,14,15,12,1.1666666666666667,65.91666666666667,72,0,0
/global/archives/9910,mobile,14,15,13,1.0769230769230769,42.30769230769231,63,0,0
/global/archives/category/press-room/issue-fact,desktop,14,14,12,1.1666666666666667,11.25,58,0,0
/global/archives/18445,desktop,13,14,12,1.0833333333333333,70,61,0,0
/global/archives/9548,mobile,13,13,13,1,4.538461538461538,54,0,0
/global/archives/category/corporates/sk-incheon-petrochem,desktop,13,12,11,1.1818181818181819,4.545454545454546,55,0,0
/global/archives/category/people/inno-people,desktop,13,12,12,1.0833333333333333,21.5,52,0,0
/global/archives/10774,desktop,12,12,10,1.2,24.6,48,0,0
/global/archives/12022,desktop,12,13,12,1,11.333333333333334,57,0,0
/global/archives/18332,desktop,12,13,7,1.7142857142857142,47.42857142857143,54,0,0
/global/archives/822,desktop,12,11,9,1.3333333333333333,87.22222222222223,50,0,0
/global/archives/category/corporates/sk-geo-centric,desktop,12,11,10,1.2,18.1,46,0,0
/global/archives/category/press-room/financial-results,mobile,12,7,6,2,26.333333333333332,39,0,0
/global/latestnews,mobile,12,7,6,2,27.666666666666668,43,0,0
/global/archives/13780,desktop,11,12,11,1,16.818181818181817,51,0,0
/global/archives/17216,desktop,11,13,10,1.1,77.3,55,0,0
/global/archives/17313,desktop,11,11,10,1.1,22.8,44,0,0
/global/archives/17499,mobile,11,11,8,1.375,93.25,43,0,0
/global/archives/7445,desktop,11,10,9,1.2222222222222223,69.33333333333333,46,0,0
/global/archives/9668,desktop,11,10,10,1.1,32.6,44,0,0
/global/privacy-policy,desktop,11,11,8,1.375,23.125,45,0,0
/global/archives/17965,desktop,10,10,6,1.6666666666666667,7.5,32,0,0
/global/archives/6313,desktop,10,10,8,1.25,29.25,39,0,0
/global/archives/14634,desktop,9,11,9,1,57,46,0,0
/global/archives/15462,desktop,9,10,8,1.125,51.125,34,0,0
/global/archives/15937,desktop,9,9,9,1,42.111111111111114,40,0,0
/global/archives/17446,desktop,9,9,6,1.5,37,39,0,0
/global/archives/18107,desktop,9,9,9,1,131.88888888888889,47,0,0
/global/archives/category/corporates/sk-ie-technology,desktop,9,9,8,1.125,1.375,35,0,0
/global/archives/13521,desktop,8,10,8,1,37.375,37,0,0
/global/archives/14243,desktop,8,7,7,1.1428571428571428,28.714285714285715,27,0,0
/global/archives/15374,mobile,8,7,5,1.6,62.4,37,0,0
/global/archives/16060,desktop,8,8,7,1.1428571428571428,29.428571428571427,40,0,0
/global/archives/16787,desktop,8,10,8,1,20.375,36,0,0
/global/archives/16970,desktop,8,8,7,1.1428571428571428,5.142857142857143,35,0,0
/global/archives/17595,desktop,8,7,6,1.3333333333333333,33.833333333333336,28,0,0
/global/archives/17817,desktop,8,8,6,1.3333333333333333,55.833333333333336,38,0,0
/global/archives/18107,mobile,8,7,6,1.3333333333333333,65.83333333333333,38,0,0
/global/archives/18374,desktop,8,9,8,1,105.875,34,0,0
/global/archives/category/corporate/sk-energy,desktop,8,7,7,1.1428571428571428,8.428571428571429,35,0,0
/global/archives/category/corporates/sk-earthon,desktop,8,8,7,1.1428571428571428,1.4285714285714286,32,0,0
/global/archives/11087,desktop,7,9,7,1,17.857142857142858,39,0,0
/global/archives/11853,desktop,7,8,7,1,15.428571428571429,28,0,0
/global/archives/1399,desktop,7,8,6,1.1666666666666667,68.5,32,0,0
/global/archives/14065,desktop,7,3,3,2.3333333333333335,63,29,0,0
/global/archives/14226,desktop,7,7,7,1,56,34,0,0
/global/archives/15574,desktop,7,6,4,1.75,36.5,31,0,0
/global/archives/15985,desktop,7,6,6,1.1666666666666667,18.5,32,0,0
/global/archives/16286,desktop,7,7,4,1.75,13,31,0,0
/global/archives/17047,desktop,7,10,6,1.1666666666666667,16.666666666666668,39,0,0
/global/archives/17356,desktop,7,6,6,1.1666666666666667,28.833333333333332,30,0,0
/global/archives/17569,desktop,7,10,7,1,10,32,0,0
/global/archives/17989,desktop,7,8,7,1,9.428571428571429,28,0,0
/global/archives/18065,mobile,7,5,4,1.75,38.5,23,0,0
/global/archives/3962,desktop,7,8,7,1,42.714285714285715,34,0,0
/global/archives/category/people/onsite-report,desktop,7,7,7,1,14.571428571428571,28,0,0
/global/archives/tag/2024-q2,desktop,7,3,3,2.3333333333333335,6.666666666666667,27,0,0
/global/archives/10133,desktop,6,6,6,1,43.666666666666664,20,0,0
/global/archives/10654,desktop,6,5,5,1.2,1.2,23,0,0
/global/archives/10985,desktop,6,4,4,1.5,129,28,0,0
/global/archives/11807,desktop,6,5,4,1.5,410.5,27,0,0
/global/archives/12008,desktop,6,4,4,1.5,51.25,25,0,0
/global/archives/12106,desktop,6,7,6,1,197.83333333333334,28,0,0
/global/archives/12667,desktop,6,4,3,2,84.66666666666667,26,0,0
/global/archives/13443,mobile,6,1,1,6,148,17,0,0
/global/archives/14219,desktop,6,3,3,2,18.666666666666668,19,0,0
/global/archives/15007,desktop,6,7,4,1.5,81.25,28,0,0
/global/archives/15204,desktop,6,6,6,1,8.666666666666666,23,0,0
/global/archives/16376,desktop,6,7,5,1.2,17.8,25,0,0
/global/archives/17216,mobile,6,7,6,1,45.5,28,0,0
/global/archives/18140,desktop,6,7,6,1,18.666666666666668,26,0,0
/global/archives/18167,desktop,6,7,6,1,24.833333333333332,26,0,0
/global/archives/18500,desktop,6,6,5,1.2,30.8,21,0,0
/global/archives/6343,desktop,6,6,6,1,9,27,0,0
/global/archives/9548,desktop,6,8,6,1,13.333333333333334,34,0,0
/global/archives/category/people/sustainability,desktop,6,6,6,1,7.5,25,0,0
/global/archives/tag/skeo,desktop,6,6,5,1.2,3.6,30,0,0
/global/archives/10835,desktop,5,5,4,1.25,5.75,19,0,0
