# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241028
# 종료일: 20241103
국가,조회수,세션수,활성 사용자,새 사용자 수,참여 세션수,참여율,활성 사용자당 참여 세션수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,사용자 키 이벤트 비율
Denmark,1,2,2,1,1,0.5,0.5,32,7,0,0,0
Egypt,1,2,0,0,1,0.5,0,0,5,0,0,0
Estonia,1,1,1,1,1,1,1,102,5,0,0,0
Ghana,1,1,1,1,0,0,0,3,5,0,0,0
Greece,1,1,1,1,0,0,0,0,4,0,0,0
Guatemala,1,1,1,1,0,0,0,10,5,0,0,0
Iran,1,1,0,0,0,0,0,0,2,0,0,0
Jordan,1,1,1,1,0,0,0,2,4,0,0,0
Mongolia,1,2,1,1,0,0,0,0,6,0,0,0
Myanmar (Burma),1,1,1,1,1,1,1,80,5,0,0,0
Romania,1,1,1,1,1,1,1,12,5,0,0,0
Serbia,1,1,1,1,1,1,1,189,5,0,0,0
Slovakia,1,1,1,1,1,1,1,27,5,0,0,0
Sri Lanka,1,1,1,1,0,0,0,0,4,0,0,0
Uganda,1,1,1,1,0,0,0,0,4,0,0,0
