# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240108
# 종료일: 20240114
국가,조회수,세션수,사용자,새 사용자 수,참여 세션수,참여율,사용자당 참여 세션수,평균 참여 시간,이벤트 수,전환,총 수익
United States,843,596,459,435,319,0.535234899328859,0.6949891067538126,55.727668845315904,3569,0,0
South Korea,919,528,320,262,269,0.509469696969697,0.840625,50.4,3667,0,0
India,420,329,139,86,131,0.3981762917933131,0.9424460431654677,40.89208633093525,1435,0,0
United Kingdom,151,114,96,90,52,0.45614035087719296,0.5416666666666666,29.375,646,0,0
France,113,91,77,73,30,0.32967032967032966,0.38961038961038963,28.649350649350648,460,0,0
Japan,140,94,67,51,58,0.6170212765957447,0.8656716417910447,46.014925373134325,596,0,0
Germany,167,111,64,59,56,0.5045045045045045,0.875,51.703125,698,0,0
Singapore,135,96,56,45,53,0.5520833333333334,0.9464285714285714,41.285714285714285,547,0,0
Canada,80,56,44,43,34,0.6071428571428571,0.7727272727272727,77.81818181818181,355,0,0
China,105,49,41,37,36,0.7346938775510204,0.8780487804878049,56.26829268292683,400,0,0
Hong Kong,52,41,32,28,23,0.5609756097560976,0.71875,36.6875,228,0,0
Hungary,49,38,32,31,20,0.5263157894736842,0.625,13.71875,210,0,0
Taiwan,65,38,27,26,23,0.6052631578947368,0.8518518518518519,80.62962962962963,287,0,0
Malaysia,32,34,23,21,13,0.38235294117647056,0.5652173913043478,36.34782608695652,144,0,0
Thailand,27,21,15,12,12,0.5714285714285714,0.8,119.73333333333333,118,0,0
Spain,24,17,14,14,9,0.5294117647058824,0.6428571428571429,31.785714285714285,109,0,0
Philippines,19,19,13,11,7,0.3684210526315789,0.5384615384615384,10,85,0,0
Netherlands,41,21,12,11,14,0.6666666666666666,1.1666666666666667,176.5,178,0,0
United Arab Emirates,23,18,12,12,8,0.4444444444444444,0.6666666666666666,45.5,98,0,0
Vietnam,33,16,12,11,8,0.5,0.6666666666666666,57.5,137,0,0
Indonesia,13,13,11,11,9,0.6923076923076923,0.8181818181818182,23.272727272727273,66,0,0
Poland,34,10,9,8,6,0.6,0.6666666666666666,80.22222222222223,136,0,0
Australia,21,10,8,6,6,0.6,0.75,97.5,87,0,0
Sweden,15,11,8,8,8,0.7272727272727273,1,95.5,69,0,0
Italy,17,7,7,7,7,1,1,83.42857142857143,70,0,0
Switzerland,12,9,7,7,6,0.6666666666666666,0.8571428571428571,30,51,0,0
Türkiye,10,8,7,6,3,0.375,0.42857142857142855,33.714285714285715,40,0,0
Brazil,7,6,6,6,4,0.6666666666666666,0.6666666666666666,46.333333333333336,34,0,0
Russia,10,7,6,6,4,0.5714285714285714,0.6666666666666666,54,40,0,0
Ukraine,9,6,6,6,5,0.8333333333333334,0.8333333333333334,22.333333333333332,37,0,0
Austria,23,8,5,4,5,0.625,1,58.4,99,0,0
Belgium,9,6,5,5,5,0.8333333333333334,1,39.8,40,0,0
Finland,12,6,5,4,5,0.8333333333333334,1,275,50,0,0
Pakistan,5,7,5,4,1,0.14285714285714285,0.2,1.6,22,0,0
Israel,8,7,4,4,5,0.7142857142857143,1.25,258.5,32,0,0
Mexico,5,6,4,4,3,0.5,0.75,10.75,25,0,0
Myanmar (Burma),4,4,4,4,1,0.25,0.25,2.25,17,0,0
Slovakia,4,4,4,4,2,0.5,0.5,7.25,17,0,0
Egypt,11,6,3,3,5,0.8333333333333334,1.6666666666666667,0,32,0,0
Georgia,5,5,3,3,1,0.2,0.3333333333333333,30.666666666666668,20,0,0
Greece,7,6,3,3,3,0.5,1,4,23,0,0
Ireland,3,3,3,3,2,0.6666666666666666,0.6666666666666666,13,13,0,0
Jordan,3,3,3,3,0,0,0,0,12,0,0
Norway,4,4,3,3,2,0.5,0.6666666666666666,34.666666666666664,17,0,0
Romania,4,4,3,3,2,0.5,0.6666666666666666,14.333333333333334,17,0,0
Sri Lanka,7,7,3,2,2,0.2857142857142857,0.6666666666666666,1.6666666666666667,26,0,0
Cambodia,2,2,2,2,1,0.5,0.5,5.5,9,0,0
Chile,2,2,2,2,2,1,1,222.5,10,0,0
Colombia,3,2,2,2,2,1,1,101,15,0,0
Croatia,4,2,2,2,2,1,1,44.5,18,0,0
Cyprus,6,5,2,2,2,0.4,1,16,24,0,0
Czechia,5,4,2,2,4,1,2,56,21,0,0
Ghana,7,6,2,2,3,0.5,1.5,5,24,0,0
Iraq,2,2,2,2,0,0,0,0,7,0,0
Jamaica,4,4,2,1,1,0.25,0.5,2,12,0,0
Kuwait,6,2,2,2,2,1,1,57.5,25,0,0
Nigeria,6,6,2,2,4,0.6666666666666666,2,77.5,23,0,0
Paraguay,2,2,2,2,0,0,0,5,8,0,0
Puerto Rico,2,3,2,2,1,0.3333333333333333,0.5,65,11,0,0
Rwanda,9,3,2,2,1,0.3333333333333333,0.5,369,41,0,0
South Africa,3,4,2,2,1,0.25,0.5,671,15,0,0
Uzbekistan,2,2,2,2,1,0.5,0.5,27,9,0,0
(not set),1,1,1,1,1,1,1,0,5,0,0
Argentina,2,2,1,1,0,0,0,2,7,0,0
Bahrain,2,2,1,1,0,0,0,0,7,0,0
Bangladesh,2,3,1,1,1,0.3333333333333333,1,0,7,0,0
Brunei,1,1,1,1,1,1,1,51,6,0,0
Bulgaria,2,2,1,1,1,0.5,1,11,9,0,0
Dominican Republic,1,1,1,1,0,0,0,0,4,0,0
Ecuador,2,2,1,1,1,0.5,1,0,7,0,0
Ethiopia,1,2,1,1,0,0,0,0,6,0,0
Guatemala,1,1,1,1,1,1,1,10,5,0,0
Honduras,1,1,1,1,1,1,1,0,4,0,0
Kyrgyzstan,1,1,1,1,1,1,1,22,5,0,0
Laos,1,1,1,1,0,0,0,0,4,0,0
Lebanon,4,4,1,1,0,0,0,0,12,0,0
Luxembourg,1,1,1,1,1,1,1,41,5,0,0
Macao,1,1,1,1,1,1,1,53,6,0,0
Maldives,1,1,1,1,1,1,1,23,5,0,0
Mayotte,1,1,1,1,0,0,0,0,4,0,0
Moldova,1,2,1,1,0,0,0,0,6,0,0
Morocco,1,2,1,1,0,0,0,0,6,0,0
Nepal,2,2,1,0,1,0.5,1,3,7,0,0
Palestine,2,1,1,1,1,1,1,49,9,0,0
Peru,7,4,1,1,1,0.25,1,106,26,0,0
Portugal,2,4,1,1,2,0.5,2,145,13,0,0
Venezuela,4,3,1,0,2,0.6666666666666666,2,0,11,0,0
