# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/13780,Organic Search,45,44,37,1.2162162162162162,25.27027027027027,210,0,0
/global/archives/18436,Direct,44,44,37,1.1891891891891893,6.8108108108108105,176,0,0
/global/archives/category/people,Organic Search,44,33,30,1.4666666666666666,13.733333333333333,166,0,0
/global/latestnews,Referral,44,41,31,1.4193548387096775,30.419354838709676,177,0,0
/global/archives/13595,Organic Search,43,39,34,1.2647058823529411,57.35294117647059,177,0,0
/global/archives/18374,Direct,43,43,35,1.2285714285714286,19.02857142857143,165,0,0
/global/archives/18436,Organic Search,43,45,34,1.2647058823529411,20.558823529411764,161,0,0
/global/archives/16060,Organic Search,42,35,27,1.5555555555555556,42.22222222222222,176,0,0
/global/archives/category/press-room/financial-results,Referral,42,15,13,3.230769230769231,42.46153846153846,154,0,0
/global/archives/17216,Direct,41,42,33,1.2424242424242424,50.42424242424242,160,0,0
/global/archives/17313,Referral,41,41,36,1.1388888888888888,13.36111111111111,160,0,0
/global/archives/18283,Referral,41,36,32,1.28125,60.40625,161,0,0
/global/archives/category/insight,Direct,41,43,42,0.9761904761904762,12.904761904761905,157,0,0
/global/archives/18445,Organic Search,40,39,32,1.25,40.28125,166,0,0
/global/archives/category/insight,Organic Search,40,30,25,1.6,13.48,152,0,0
/global/archives/category/corporates/sk-innovation,Direct,38,34,29,1.3103448275862069,10.379310344827585,136,0,0
/global/archives/category/corporates/sk-innovation,Referral,37,25,23,1.608695652173913,81.21739130434783,132,0,0
/global/archives/category/people,Direct,37,38,38,0.9736842105263158,12.105263157894736,144,0,0
/global/archives/12274/skee,Organic Search,36,34,29,1.2413793103448276,13.344827586206897,182,0,0
/global/archives/15937,Organic Search,36,40,30,1.2,29.633333333333333,162,0,0
/global/archives/18500,Organic Search,36,36,31,1.1612903225806452,8.67741935483871,149,0,0
/global/archives/17569,Organic Search,35,36,28,1.25,40.464285714285715,161,0,0
/global/archives/9740,Organic Search,35,37,29,1.206896551724138,47.10344827586207,158,0,0
/global/archives/9668,Organic Search,34,37,23,1.4782608695652173,28.304347826086957,156,0,0
/global/archives/category/corporates,Direct,34,30,27,1.2592592592592593,42.148148148148145,127,0,0
