# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240401
# 종료일: 20240430
페이지 경로 및 화면 클래스,세션 기본 채널 그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/14491,Organic Search,34,34,27,1.2592592592592593,39.851851851851855,150,0,0
/global/archives/15462,Organic Search,34,31,28,1.2142857142857142,35.57142857142857,146,0,0
/global/archives/category/press-room/issue-fact,Organic Search,34,30,26,1.3076923076923077,12.423076923076923,133,0,0
/global/sustainability-report,Organic Search,34,33,21,1.619047619047619,28.666666666666668,160,0,0
/global/archives/16286,Organic Search,33,32,23,1.434782608695652,12.826086956521738,140,0,0
/global/archives/17737,Organic Search,33,36,28,1.1785714285714286,18.821428571428573,139,0,0
/global/archives/17950,Referral,33,33,24,1.375,43.458333333333336,127,0,0
/global/archives/category/insight,Organic Search,33,28,26,1.2692307692307692,17.846153846153847,124,0,0
/global/archives/16970,Organic Search,32,33,26,1.2307692307692308,19.26923076923077,151,0,0
/global/archives/category/corporates/sk-ie-technology,Direct,32,26,26,1.2307692307692308,68.15384615384616,117,0,0
/global/archives/18022,Direct,31,26,20,1.55,26.5,112,0,0
/global/archives/category/corporates,Direct,31,22,17,1.8235294117647058,22.294117647058822,121,0,0
/global/archives/category/insight/trend_report,Organic Search,31,22,17,1.8235294117647058,27.11764705882353,124,0,0
/global/archives/11807,Organic Search,30,29,24,1.25,37.416666666666664,127,0,0
/global/archives/12106,Organic Search,30,33,25,1.2,31.2,141,0,0
/global/archives/17863,Referral,30,25,14,2.142857142857143,49.785714285714285,111,0,0
/global/archives/13595,Organic Search,29,34,25,1.16,121.96,137,0,0
/global/archives/15374,Direct,29,27,21,1.380952380952381,5.904761904761905,110,0,0
/global/archives/16493,Organic Search,29,30,23,1.2608695652173914,48.52173913043478,130,0,0
/global/archives/17499,Organic Search,29,31,23,1.2608695652173914,96,137,0,0
/global/archives/17737,Paid Search,29,26,8,3.625,2.125,88,0,0
/global/archives/17817,Referral,29,26,24,1.2083333333333333,50.375,122,0,0
/global/archives/17844,Organic Search,29,29,26,1.1153846153846154,17.46153846153846,121,0,0
/global/archives/17989,Organic Search,29,33,25,1.16,35.44,117,0,0
/global/archives/category/corporates/sk-energy,Organic Search,29,27,25,1.16,22.48,113,0,0
/global/archives/13595,Referral,28,27,24,1.1666666666666667,52.375,132,0,0
/global/archives/18065,Organic Social,28,26,25,1.12,27.32,122,0,0
/global/archives/13521,Organic Search,27,27,24,1.125,32.5,116,0,0
/global/archives/17047,Organic Search,27,28,22,1.2272727272727273,48.27272727272727,134,0,0
/global/archives/17216,Referral,27,28,18,1.5,88.61111111111111,111,0,0
/global/archives/category/corporates/sk-ie-technology,Organic Search,27,23,20,1.35,17,109,0,0
/global/archives/category/insight/expert-voice,Direct,27,27,27,1,58.925925925925924,95,0,0
/global/archives/12274/skee,Organic Search,26,21,19,1.368421052631579,12.842105263157896,126,0,0
/global/archives/14803,Direct,26,24,21,1.2380952380952381,39.23809523809524,110,0,0
/global/archives/15103,Organic Search,26,23,19,1.368421052631579,86.78947368421052,114,0,0
/global/archives/17356,Referral,26,27,21,1.2380952380952381,76.52380952380952,116,0,0
/global/archives/17844,Direct,26,25,24,1.0833333333333333,30.583333333333332,94,0,0
/global/archives/17965,Organic Search,26,30,21,1.2380952380952381,44.76190476190476,104,0,0
/global/archives/17978,Direct,26,27,24,1.0833333333333333,28.166666666666668,101,0,0
/global/archives/category/people,Organic Search,26,20,18,1.4444444444444444,15.166666666666666,98,0,0
/global/archives/category/press-room/financial-results,Direct,26,16,15,1.7333333333333334,20.6,102,0,0
/global/archives/10774,Direct,25,26,24,1.0416666666666667,30.333333333333332,109,0,0
/global/archives/16613,Paid Search,25,22,17,1.4705882352941178,1.7647058823529411,87,0,0
/global/archives/category/people/ceo-leaders,Direct,25,24,24,1.0416666666666667,62.083333333333336,90,0,0
/global/archives/tag/financial-results,Organic Search,25,9,9,2.7777777777777777,14.11111111111111,99,0,0
/global/archives/11087,Organic Search,24,26,22,1.0909090909090908,22.363636363636363,110,0,0
/global/archives/15664,Direct,24,21,19,1.263157894736842,14.947368421052632,101,0,0
/global/archives/17313,Organic Search,24,20,19,1.263157894736842,28.894736842105264,94,0,0
/global/archives/17313,Referral,24,20,16,1.5,62.625,89,0,0
/global/archives/17893,Referral,24,17,9,2.6666666666666665,36.333333333333336,94,0,0
/global/archives/822,Organic Search,24,22,21,1.1428571428571428,43.142857142857146,116,0,0
/global/archives/tag/sko,Organic Search,24,23,22,1.0909090909090908,8.181818181818182,114,0,0
/global/archives/14243,Organic Search,23,21,18,1.2777777777777777,31.27777777777778,94,0,0
/global/archives/17169,Organic Search,23,25,22,1.0454545454545454,69.13636363636364,107,0,0
/global/archives/18065,Direct,23,21,18,1.2777777777777777,47.44444444444444,95,0,0
/global/archives/9548,Organic Search,23,25,21,1.0952380952380953,40,102,0,0
/global/archives/9709,Organic Search,23,19,17,1.3529411764705883,74.58823529411765,103,0,0
/global/archives/category/corporates,Referral,23,21,18,1.2777777777777777,26.77777777777778,82,0,0
/global/,Organic Social,22,22,8,2.75,16.375,89,0,0
/global/archives/14770,Organic Search,22,24,20,1.1,22.45,102,0,0
/global/archives/16939,Organic Search,22,25,22,1,32.59090909090909,105,0,0
/global/archives/17817,Organic Social,22,25,15,1.4666666666666666,25.733333333333334,110,0,0
/global/archives/category/corporates/sk-on,Referral,22,22,18,1.2222222222222223,41.05555555555556,83,0,0
/global/archives/10913,Organic Search,21,20,18,1.1666666666666667,30.88888888888889,92,0,0
/global/archives/12220,Organic Search,21,21,17,1.2352941176470589,28.176470588235293,94,0,0
/global/archives/12306,Organic Search,21,27,20,1.05,32.25,100,0,0
/global/archives/13130,Organic Search,21,22,17,1.2352941176470589,36.470588235294116,85,0,0
/global/archives/category/press-room,Direct,21,19,16,1.3125,20.625,77,0,0
/global/archives/14634,Organic Search,20,18,18,1.1111111111111112,44.166666666666664,97,0,0
/global/archives/15259,Organic Search,20,23,19,1.0526315789473684,7.421052631578948,87,0,0
/global/archives/15937,Paid Search,20,18,3,6.666666666666667,0,59,0,0
