날짜,Tweets published,노출수,참여,참여율,리트윗,답글,마음,사용자 프로필 클릭수,URL 클릭 수,해시태그 클릭수,상세 정보 조회 수 ,고유 주소 클릭 수,앱 열기,앱 설치 수,팔로우,트윗을 이메일로 전송,전화 걸기,미디어 조회수,미디어 참여,노출수 프로모션,참여 프로모션,참여율 프로모션,리트윗 프로모션,답글 프로모션,마음 프로모션,사용자 프로필 클릭수 프로모션,URL 클릭 수 프로모션,해시태그 클릭수 프로모션,상세 정보 조회 수  프로모션,고유 주소 클릭 수 프로모션,앱 열기 프로모션,앱 설치 수 프로모션,팔로우 프로모션,트윗을 이메일로 전송 프로모션,전화 걸기 프로모션,미디어 조회수 프로모션,미디어 참여 프로모션
2024-03-24,0,436,48,0.110091743,0,0,41,0,0,1,0,0,0,0,5,0,0,13,1,8317,105,0.012624744,0,0,4,11,0,1,51,0,0,0,2,0,0,36,36
2024-03-25,0,1075,48,0.044651163,0,1,20,6,2,1,4,0,0,0,8,0,0,31,6,8620,84,0.00974478,0,0,0,10,0,2,43,0,0,0,0,0,0,29,29
2024-03-26,0,896,46,0.051339286,0,0,5,7,1,0,10,0,0,0,6,0,0,26,17,8274,112,0.013536379,0,0,6,16,0,1,57,0,0,0,2,0,0,30,30
2024-03-27,0,721,20,0.027739251,1,0,3,1,3,4,1,0,0,0,6,0,0,17,1,8006,94,0.011741194,0,0,0,11,0,3,39,0,0,0,0,0,0,41,41
2024-03-28,0,727,18,0.024759285,0,0,5,3,2,0,2,0,0,0,4,0,0,13,2,8017,103,0.012847699,0,0,6,12,0,1,46,0,0,0,1,0,0,37,37
2024-03-29,0,989,10,0.010111223,0,0,3,1,1,0,2,0,0,0,2,0,0,15,1,7414,79,0.010655517,0,0,0,12,0,3,37,0,0,0,0,0,0,27,27
2024-03-30,0,598,23,0.038461538,1,0,9,2,1,0,2,0,0,0,2,0,0,46,6,7166,69,0.009628803,0,0,2,6,0,2,47,0,0,0,0,0,0,12,12
2024-03-31,0,607,15,0.024711697,1,0,6,1,0,2,0,0,0,0,3,0,0,59,2,10964,112,0.01021525,1,0,6,16,1,1,51,0,0,0,1,0,0,1191,35
2024-04-01,3,1376,40,0.029069767,1,0,12,2,1,2,4,0,0,0,7,0,0,141,11,13044,167,0.012802821,0,0,12,28,10,3,66,0,0,0,3,0,0,3210,45
2024-04-02,1,3370,73,0.021661721,1,0,23,6,3,2,23,0,0,0,9,0,0,408,6,12879,177,0.013743303,0,0,20,18,10,2,71,0,0,0,1,0,0,3186,55
2024-04-03,0,4137,54,0.013052937,3,0,19,5,0,5,11,0,0,0,4,0,0,529,7,2449,20,0.008166599,0,0,0,3,0,0,11,0,0,0,1,0,0,627,5
