# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241021
# 종료일: 20241027
국가,조회수,세션수,활성 사용자,새 사용자 수,참여 세션수,참여율,활성 사용자당 참여 세션수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,사용자 키 이벤트 비율
Mexico,835,639,568,570,251,0.39280125195618154,0.44190140845070425,4.042253521126761,3036,0,0,0
United States,747,596,534,505,258,0.43288590604026844,0.48314606741573035,28.56741573033708,3265,0,0,0
South Korea,588,414,319,280,219,0.5289855072463768,0.6865203761755486,38.075235109717866,2858,0,0,0
Singapore,235,165,115,100,83,0.503030303030303,0.7217391304347827,48.391304347826086,989,0,0,0
India,228,156,103,91,92,0.5897435897435898,0.8932038834951457,51.46601941747573,922,0,0,0
Japan,216,123,80,67,74,0.6016260162601627,0.925,70.3125,952,0,0,0
Hong Kong,215,114,57,46,54,0.47368421052631576,0.9473684210526315,78.6140350877193,872,0,0,0
China,181,158,145,124,109,0.689873417721519,0.7517241379310344,30.896551724137932,700,0,0,0
United Kingdom,142,98,81,76,55,0.5612244897959183,0.6790123456790124,28.469135802469136,628,0,0,0
Germany,121,96,60,53,27,0.28125,0.45,46.766666666666666,480,0,0,0
France,102,61,42,37,32,0.5245901639344263,0.7619047619047619,146.45238095238096,596,0,0,0
Vietnam,78,48,37,35,27,0.5625,0.7297297297297297,86.64864864864865,327,0,0,0
Malaysia,70,51,37,35,28,0.5490196078431373,0.7567567567567568,85.4054054054054,295,0,0,0
Hungary,58,21,12,8,13,0.6190476190476191,1.0833333333333333,146.58333333333334,241,0,0,0
Australia,55,55,37,37,25,0.45454545454545453,0.6756756756756757,85.89189189189189,254,0,0,0
Indonesia,52,38,31,27,17,0.4473684210526316,0.5483870967741935,29.806451612903224,210,0,0,0
Canada,51,44,34,31,20,0.45454545454545453,0.5882352941176471,30.235294117647058,223,0,0,0
Netherlands,47,38,36,36,20,0.5263157894736842,0.5555555555555556,36.611111111111114,215,0,0,0
Spain,47,23,14,9,14,0.6086956521739131,1,106.21428571428571,195,0,0,0
Taiwan,36,20,16,13,13,0.65,0.8125,97.4375,151,0,0,0
(not set),30,30,30,30,0,0,0,0,120,0,0,0
Philippines,26,24,20,13,11,0.4583333333333333,0.55,33.65,122,0,0,0
Russia,24,16,10,8,9,0.5625,0.9,31.7,113,0,0,0
Belgium,22,10,5,5,7,0.7,1.4,100.2,96,0,0,0
Poland,20,22,14,13,9,0.4090909090909091,0.6428571428571429,39,86,0,0,0
Chile,18,14,8,7,7,0.5,0.875,47.375,65,0,0,0
Austria,15,12,11,11,3,0.25,0.2727272727272727,31.727272727272727,64,0,0,0
Türkiye,15,8,6,6,4,0.5,0.6666666666666666,138.16666666666666,71,0,0,0
United Arab Emirates,15,16,9,9,7,0.4375,0.7777777777777778,30.88888888888889,64,0,0,0
Italy,13,10,7,7,7,0.7,1,33.57142857142857,59,0,0,0
Finland,12,11,11,11,2,0.18181818181818182,0.18181818181818182,3.272727272727273,42,0,0,0
Ireland,12,11,11,11,8,0.7272727272727273,0.7272727272727273,18.818181818181817,55,0,0,0
Ukraine,12,8,8,7,6,0.75,0.75,22.25,55,0,0,0
Thailand,10,9,8,7,3,0.3333333333333333,0.375,13.125,44,0,0,0
Norway,9,10,8,7,4,0.4,0.5,15.75,44,0,0,0
Switzerland,8,7,5,5,3,0.42857142857142855,0.6,3.8,31,0,0,0
Bangladesh,7,6,5,5,4,0.6666666666666666,0.8,5.6,28,0,0,0
Brazil,6,7,6,5,5,0.7142857142857143,0.8333333333333334,20.833333333333332,32,0,0,0
Israel,6,3,3,2,3,1,1,162.66666666666666,23,0,0,0
Saudi Arabia,6,6,5,4,1,0.16666666666666666,0.2,2.2,26,0,0,0
Egypt,5,7,4,4,1,0.14285714285714285,0.25,1.75,24,0,0,0
New Zealand,5,5,4,4,2,0.4,0.5,0.25,20,0,0,0
Myanmar (Burma),4,3,3,3,3,1,1,24,18,0,0,0
Pakistan,4,5,4,3,2,0.4,0.5,26.75,19,0,0,0
South Africa,4,4,3,3,3,0.75,1,38.666666666666664,20,0,0,0
Azerbaijan,3,4,2,2,3,0.75,1.5,44.5,16,0,0,0
Lithuania,3,3,3,3,2,0.6666666666666666,0.6666666666666666,56,17,0,0,0
Macao,3,3,3,3,3,1,1,50.333333333333336,15,0,0,0
Peru,3,2,2,2,2,1,1,3,14,0,0,0
Romania,3,3,3,3,3,1,1,36.333333333333336,15,0,0,0
Sweden,3,2,2,1,1,0.5,0.5,7.5,11,0,0,0
Argentina,2,2,1,1,1,0.5,1,23,8,0,0,0
Czechia,2,2,2,2,0,0,0,3.5,9,0,0,0
Estonia,2,1,1,1,1,1,1,42,9,0,0,0
Slovenia,2,3,1,1,2,0.6666666666666666,2,57,12,0,0,0
British Virgin Islands,1,1,1,1,0,0,0,0,4,0,0,0
Colombia,1,1,1,1,0,0,0,0,4,0,0,0
Croatia,1,1,1,1,1,1,1,10,5,0,0,0
Denmark,1,1,1,1,0,0,0,0,4,0,0,0
Dominican Republic,1,1,1,1,0,0,0,0,4,0,0,0
Ethiopia,1,1,1,1,1,1,1,15,5,0,0,0
Iran,1,1,1,1,0,0,0,0,4,0,0,0
Kazakhstan,1,1,1,1,1,1,1,0,4,0,0,0
Kenya,1,1,1,1,1,1,1,14,5,0,0,0
Luxembourg,1,1,1,1,0,0,0,2,4,0,0,0
Morocco,1,1,1,1,1,1,1,331,6,0,0,0
Nigeria,1,1,1,1,1,1,1,0,3,0,0,0
Portugal,1,3,1,1,0,0,0,0,8,0,0,0
Qatar,1,1,1,1,1,1,1,21,5,0,0,0
Serbia,1,1,1,1,0,0,0,0,3,0,0,0
Slovakia,1,1,1,1,1,1,1,63,6,0,0,0
Sri Lanka,1,1,1,1,0,0,0,0,4,0,0,0
Venezuela,1,1,1,1,1,1,1,286,5,0,0,0
Benin,0,1,1,0,1,1,1,176,3,0,0,0
