# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241021
# 종료일: 20241027
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19268,mobile,874,676,604,1.4470198675496688,8.771523178807946,3172,0,0
/global/,desktop,236,175,140,1.6857142857142857,30.17142857142857,1789,0,0
/global/latestnews,desktop,144,161,128,1.125,21.28125,536,0,0
/global/archives/19393,mobile,121,113,112,1.0803571428571428,9.205357142857142,491,0,0
/global/archives/19393,desktop,119,117,96,1.2395833333333333,58.78125,508,0,0
/global/archives/19268,desktop,103,102,81,1.271604938271605,30.580246913580247,418,0,0
/pagead/aclk,mobile,102,67,66,1.5454545454545454,0,319,0,0
/global/archives/18546,desktop,74,82,61,1.2131147540983607,32.9344262295082,330,0,0
/global/archives/category/press-room/financial-results,desktop,64,39,32,2,28.8125,255,0,0
/global/archives/category/press-room/press-release,desktop,57,50,33,1.7272727272727273,24.21212121212121,223,0,0
/global/archives/17426,desktop,56,54,38,1.4736842105263157,38.526315789473685,246,0,0
/global/archives/19179,desktop,51,54,41,1.2439024390243902,47,208,0,0
/global/archives/19078,desktop,48,42,36,1.3333333333333333,42.611111111111114,204,0,0
/global/archives/15490,desktop,45,40,32,1.40625,46.9375,206,0,0
/global/archives/18608,desktop,45,41,30,1.5,24.066666666666666,187,0,0
/global/archives/19268,tablet,45,34,31,1.4516129032258065,1.3548387096774193,159,0,0
/global/archives/17356,desktop,41,44,29,1.4137931034482758,56.41379310344828,163,0,0
/global/archives/category/corporates,desktop,41,31,31,1.3225806451612903,15.64516129032258,155,0,0
/global/archives/category/press-room,desktop,34,36,23,1.4782608695652173,13.91304347826087,128,0,0
/global/archives/15687,desktop,30,35,18,1.6666666666666667,54,125,0,0
/global/archives/category/corporates/sk-innovation,desktop,30,25,23,1.3043478260869565,18.869565217391305,116,0,0
/global/archives/17569,desktop,25,31,19,1.3157894736842106,28.894736842105264,105,0,0
/global/archives/category/corporates/sk-geo-centric,desktop,25,15,11,2.272727272727273,30.272727272727273,98,0,0
/global/archives/19045,desktop,24,24,21,1.1428571428571428,50.61904761904762,110,0,0
/global/archives/19045,mobile,23,20,19,1.2105263157894737,29.736842105263158,90,0,0
/global/archives/category/corporates/sk-earthon,desktop,23,15,11,2.090909090909091,26.90909090909091,91,0,0
/global/archives/category/corporates/sk-on,desktop,23,20,16,1.4375,32.0625,94,0,0
/global/,mobile,22,19,19,1.1578947368421053,10.842105263157896,116,0,0
/global/archives/15374,desktop,22,31,20,1.1,39,113,0,0
/global/archives/18107,desktop,22,20,18,1.2222222222222223,107.44444444444444,105,0,0
/global/archives/18770,desktop,21,21,15,1.4,10.6,83,0,0
/global/archives/19154,desktop,21,17,15,1.4,22.4,85,0,0
/global/archives/17446,desktop,20,22,23,0.8695652173913043,5.3478260869565215,75,0,0
/global/archives/19328,desktop,20,19,18,1.1111111111111112,23.166666666666668,76,0,0
/global/archives/14491,desktop,19,23,15,1.2666666666666666,19.8,84,0,0
/global/archives/15937,desktop,19,16,10,1.9,60.1,85,0,0
/global/archives/17737,desktop,18,22,15,1.2,50.666666666666664,93,0,0
/global/archives/19349,desktop,18,19,18,1,29.38888888888889,79,0,0
/global/archives/4921,mobile,18,15,15,1.2,19.466666666666665,78,0,0
/global/archives/category/corporates/sk-energy,desktop,18,13,13,1.3846153846153846,19.692307692307693,69,0,0
/global/archives/16060,desktop,17,17,14,1.2142857142857142,12.714285714285714,68,0,0
/global/archives/16834,desktop,17,17,14,1.2142857142857142,22.214285714285715,71,0,0
/global/archives/19230,desktop,16,18,17,0.9411764705882353,11.470588235294118,63,0,0
/global/archives/10774,desktop,15,14,13,1.1538461538461537,8.153846153846153,70,0,0
/global/archives/16532,desktop,15,14,13,1.1538461538461537,53.46153846153846,69,0,0
/global/archives/17499,desktop,14,18,14,1,20.142857142857142,65,0,0
/global/archives/18445,desktop,14,16,13,1.0769230769230769,65.76923076923077,66,0,0
/global/archives/3820,desktop,14,14,11,1.2727272727272727,12.363636363636363,61,0,0
/global/archives/6216,desktop,14,19,13,1.0769230769230769,42.07692307692308,71,0,0
/global/archives/16463,desktop,13,12,9,1.4444444444444444,29.333333333333332,57,0,0
/global/archives/19179,mobile,13,12,7,1.8571428571428572,41.714285714285715,47,0,0
/global/archives/19349,mobile,13,10,10,1.3,4.9,42,0,0
/global/archives/9740,desktop,13,14,10,1.3,86.3,61,0,0
/global/archives/category/people,desktop,13,11,11,1.1818181818181819,10.818181818181818,50,0,0
/global/archives/12274/skee,desktop,12,9,9,1.3333333333333333,6.555555555555555,59,0,0
/global/archives/14243,desktop,12,12,7,1.7142857142857142,45.42857142857143,47,0,0
/global/archives/15664,desktop,12,13,10,1.2,23.8,59,0,0
/global/archives/18107,mobile,12,12,12,1,128.91666666666666,58,0,0
/global/archives/18690,desktop,12,10,9,1.3333333333333333,17.11111111111111,44,0,0
/global/archives/3962,desktop,12,13,10,1.2,30,57,0,0
/global/archives/category/corporates/sk-enmove,desktop,12,10,9,1.3333333333333333,25.88888888888889,49,0,0
/global/archives/category/insight,desktop,12,12,12,1,33.833333333333336,48,0,0
/global/archives/12022,desktop,11,11,11,1,95.45454545454545,55,0,0
/global/archives/12950,desktop,11,12,10,1.1,11.2,42,0,0
/global/archives/17313,desktop,11,13,9,1.2222222222222223,33,41,0,0
/global/archives/17595,desktop,11,14,8,1.375,17.75,52,0,0
/global/archives/18659,desktop,11,14,10,1.1,26.6,52,0,0
/global/archives/19078,mobile,11,12,4,2.75,37.25,38,0,0
/global/archives/5772,desktop,11,5,3,3.6666666666666665,29.666666666666668,30,0,0
/global/archives/9910,desktop,11,12,9,1.2222222222222223,164.55555555555554,50,0,0
/global/archives/category/corporate/sk-enmove,desktop,11,11,7,1.5714285714285714,12.428571428571429,43,0,0
/global/archives/category/corporates/sk-ie-technology,desktop,11,9,5,2.2,26.2,41,0,0
/global/archives/10939,desktop,10,11,8,1.25,35.5,42,0,0
/global/archives/11087,desktop,10,8,8,1.25,167.125,48,0,0
/global/archives/11161,desktop,10,6,6,1.6666666666666667,37.333333333333336,42,0,0
/global/archives/17623,desktop,10,11,10,1,63.6,53,0,0
/global/archives/category/people/inno-people,desktop,10,7,7,1.4285714285714286,17.142857142857142,38,0,0
/global/archives/13748,desktop,9,9,5,1.8,101.4,37,0,0
/global/archives/13780,desktop,9,11,9,1,46.77777777777778,39,0,0
/global/archives/16286,desktop,9,7,5,1.8,252.4,39,0,0
/global/archives/18022,mobile,9,4,4,2.25,75,34,0,0
/global/archives/18332,desktop,9,15,6,1.5,50,51,0,0
/global/archives/12306,desktop,8,9,7,1.1428571428571428,7.857142857142857,37,0,0
/global/archives/15574,desktop,8,8,7,1.1428571428571428,13.571428571428571,26,0,0
/global/archives/17990,desktop,8,8,6,1.3333333333333333,27.833333333333332,36,0,0
/global/archives/18022,desktop,8,8,6,1.3333333333333333,34.166666666666664,34,0,0
/global/archives/18361,desktop,8,7,6,1.3333333333333333,51.166666666666664,30,0,0
/global/archives/18388,desktop,8,7,7,1.1428571428571428,106.71428571428571,35,0,0
/global/archives/19149,desktop,8,8,8,1,38.5,29,0,0
/global/archives/19202,desktop,8,9,7,1.1428571428571428,38.285714285714285,33,0,0
/global/archives/489,desktop,8,7,7,1.1428571428571428,43.142857142857146,32,0,0
/global/archives/category/corporates/sk-enterm,desktop,8,7,4,2,7.5,31,0,0
/global/archives/category/corporates/sk-rading-international,desktop,8,5,3,2.6666666666666665,7.666666666666667,28,0,0
/global/archives/category/insight/trend_report,desktop,8,8,7,1.1428571428571428,76.14285714285714,28,0,0
/global/archives/10872,desktop,7,8,4,1.75,48.75,29,0,0
/global/archives/12125,desktop,7,9,5,1.4,42.4,33,0,0
/global/archives/12692,desktop,7,9,6,1.1666666666666667,22.166666666666668,37,0,0
/global/archives/14065,desktop,7,9,8,0.875,16.25,32,0,0
/global/archives/15610,desktop,7,7,6,1.1666666666666667,12.5,33,0,0
/global/archives/17216,desktop,7,9,7,1,52.285714285714285,33,0,0
/global/archives/17514,desktop,7,6,6,1.1666666666666667,13.5,28,0,0
/global/archives/17817,desktop,7,7,6,1.1666666666666667,24.5,30,0,0
/global/archives/18301,mobile,7,8,7,1,23.571428571428573,31,0,0
/global/archives/18708,desktop,7,8,6,1.1666666666666667,118,30,0,0
/global/archives/311,desktop,7,6,3,2.3333333333333335,14.666666666666666,30,0,0
/global/archives/7445,desktop,7,9,7,1,17.142857142857142,35,0,0
/global/archives/12036,desktop,6,7,4,1.5,14.5,26,0,0
/global/archives/13130,desktop,6,5,3,2,75,26,0,0
/global/archives/13521,desktop,6,5,4,1.5,18.75,28,0,0
/global/archives/17169,mobile,6,5,5,1.2,40.2,28,0,0
/global/archives/17978,desktop,6,4,4,1.5,24.25,23,0,0
/global/archives/18167,desktop,6,6,2,3,79.5,32,0,0
/global/archives/19095,desktop,6,6,6,1,176.5,27,0,0
/global/archives/4612,desktop,6,5,4,1.5,47.5,25,0,0
/global/archives/6253,mobile,6,1,1,6,71,20,0,0
/global/archives/736,desktop,6,5,5,1.2,20.2,24,0,0
/global/archives/822,desktop,6,5,5,1.2,21.6,23,0,0
/global/archives/9740,mobile,6,5,5,1.2,0.8,21,0,0
/global/archives/category/corporate/sk-energy,desktop,6,5,5,1.2,17,28,0,0
/global/archives/category/press-room/issue-fact,desktop,6,7,5,1.2,2.8,22,0,0
/global/archives/10535,desktop,5,6,4,1.25,4.5,19,0,0
/global/archives/10913,desktop,5,6,4,1.25,5.75,21,0,0
/global/archives/11004,desktop,5,6,4,1.25,34,23,0,0
/global/archives/11807,desktop,5,5,4,1.25,29,22,0,0
/global/archives/12106,desktop,5,8,5,1,9.8,27,0,0
/global/archives/12688,desktop,5,5,3,1.6666666666666667,8.666666666666666,20,0,0
/global/archives/14146,desktop,5,5,3,1.6666666666666667,31,23,0,0
/global/archives/14309,desktop,5,6,5,1,0.2,21,0,0
/global/archives/14415,mobile,5,2,2,2.5,27,17,0,0
/global/archives/15103,desktop,5,6,4,1.25,32.5,25,0,0
/global/archives/15259,desktop,5,5,5,1,0,20,0,0
/global/archives/15353,desktop,5,5,5,1,11,21,0,0
/global/archives/15490,mobile,5,4,3,1.6666666666666667,50.333333333333336,19,0,0
/global/archives/16376,mobile,5,5,0,0,0,15,0,0
/global/archives/16493,desktop,5,7,5,1,24.8,26,0,0
