# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240115
# 종료일: 20240121
국가,조회수,세션수,사용자,새 사용자 수,참여 세션수,참여율,사용자당 참여 세션수,평균 참여 시간,이벤트 수,전환,총 수익
United States,706,514,415,404,270,0.5252918287937743,0.6506024096385542,46.563855421686746,3039,0,0
South Korea,888,561,400,335,285,0.5080213903743316,0.7125,40.1275,3740,0,0
India,448,341,166,124,141,0.41348973607038125,0.8493975903614458,39.93975903614458,1668,0,0
Japan,204,139,95,80,82,0.5899280575539568,0.8631578947368421,42.31578947368421,871,0,0
United Kingdom,150,107,83,76,47,0.4392523364485981,0.5662650602409639,33.55421686746988,648,0,0
Germany,194,124,73,64,51,0.4112903225806452,0.6986301369863014,89.82191780821918,804,0,0
France,100,91,71,66,20,0.21978021978021978,0.28169014084507044,7.661971830985915,399,0,0
Singapore,162,95,67,51,58,0.6105263157894737,0.8656716417910447,39.64179104477612,697,0,0
China,137,53,40,35,32,0.6037735849056604,0.8,65.45,475,0,0
Canada,54,47,37,36,22,0.46808510638297873,0.5945945945945946,42.7027027027027,255,0,0
Taiwan,77,53,30,28,24,0.4528301886792453,0.8,43.7,317,0,0
Hong Kong,91,54,29,23,22,0.4074074074074074,0.7586206896551724,36.793103448275865,372,0,0
Malaysia,40,25,23,22,15,0.6,0.6521739130434783,22.434782608695652,180,0,0
Italy,40,21,18,18,14,0.6666666666666666,0.7777777777777778,35.55555555555556,178,0,0
Australia,39,25,15,14,11,0.44,0.7333333333333333,34.333333333333336,160,0,0
Vietnam,22,16,15,13,13,0.8125,0.8666666666666667,104.6,99,0,0
Hungary,42,20,14,12,9,0.45,0.6428571428571429,45.642857142857146,186,0,0
Poland,16,15,14,13,9,0.6,0.6428571428571429,75.64285714285714,79,0,0
Netherlands,19,13,11,11,7,0.5384615384615384,0.6363636363636364,17.272727272727273,80,0,0
Thailand,17,16,11,10,9,0.5625,0.8181818181818182,37.36363636363637,75,0,0
Spain,15,11,10,9,7,0.6363636363636364,0.7,30.7,70,0,0
Indonesia,12,11,9,7,5,0.45454545454545453,0.5555555555555556,85.55555555555556,55,0,0
Russia,23,10,9,7,7,0.7,0.7777777777777778,41,91,0,0
Brazil,10,7,7,6,6,0.8571428571428571,0.8571428571428571,124.42857142857143,45,0,0
Philippines,9,9,7,6,5,0.5555555555555556,0.7142857142857143,6.714285714285714,36,0,0
Sweden,13,9,7,5,6,0.6666666666666666,0.8571428571428571,15.857142857142858,52,0,0
Austria,11,7,6,6,3,0.42857142857142855,0.5,20.333333333333332,44,0,0
Türkiye,9,7,6,6,3,0.42857142857142855,0.5,42.5,43,0,0
Belgium,10,5,5,5,2,0.4,0.4,12.4,44,0,0
Jordan,8,8,5,5,0,0,0,0,28,0,0
Mexico,15,7,5,4,4,0.5714285714285714,0.8,28,57,0,0
Switzerland,5,6,5,5,2,0.3333333333333333,0.4,10.8,24,0,0
Finland,10,5,4,4,5,1,1.25,37.25,41,0,0
Pakistan,6,6,4,4,1,0.16666666666666666,0.25,0.5,23,0,0
Portugal,6,4,4,3,3,0.75,0.75,14.25,25,0,0
Lithuania,3,3,3,2,2,0.6666666666666666,0.6666666666666666,12.333333333333334,15,0,0
