# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240805
# 종료일: 20240811
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18659,mobile,1481,1113,1045,1.4172248803827752,4.667942583732057,5662,0,0
/global/,desktop,234,183,137,1.7080291970802919,21.45985401459854,957,0,0
/global/archives/18546,desktop,214,213,143,1.4965034965034965,34.22377622377623,846,0,0
/global/archives/18608,desktop,129,111,74,1.7432432432432432,59.91891891891892,515,0,0
/global/latestnews,desktop,113,108,73,1.547945205479452,19.246575342465754,414,0,0
/global/archives/18659,desktop,111,102,90,1.2333333333333334,15.644444444444444,421,0,0
/global/archives/category/press-room/financial-results,desktop,100,64,48,2.0833333333333335,23.5,391,0,0
/global/archives/18659,tablet,91,50,43,2.116279069767442,5.744186046511628,279,0,0
/global/archives/category/press-room/press-release,desktop,78,67,46,1.6956521739130435,26.543478260869566,306,0,0
/global/,mobile,76,36,32,2.375,24.5,306,0,0
/global/archives/17426,desktop,66,56,41,1.6097560975609757,34.1219512195122,279,0,0
/global/archives/category/corporates/sk-on,desktop,48,40,26,1.8461538461538463,45.42307692307692,192,0,0
/global/archives/category/press-room,desktop,37,28,25,1.48,24.92,136,0,0
/global/archives/category/press-room/press-release,mobile,34,34,34,1,0.38235294117647056,136,0,0
/global/archives/15374,desktop,31,34,26,1.1923076923076923,29.384615384615383,142,0,0
/global/archives/category/corporates,desktop,29,20,19,1.5263157894736843,18.526315789473685,110,0,0
/global/archives/category/corporates/sk-innovation,desktop,29,25,25,1.16,15.4,112,0,0
/global/archives/17216,desktop,27,26,22,1.2272727272727273,27.818181818181817,116,0,0
/global/archives/18361,desktop,27,27,20,1.35,44.1,108,0,0
/global/archives/6216,desktop,27,28,24,1.125,59.666666666666664,124,0,0
/global/archives/18065,desktop,23,26,19,1.2105263157894737,23.63157894736842,94,0,0
