# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241001
# 종료일: 20241031
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/14491,Organic Search,44,46,31,1.4193548387096775,24.70967741935484,189,0,0
/global/archives/19045,Direct,43,44,41,1.048780487804878,16.29268292682927,182,0,0
/global/archives/19393,Referral,43,35,29,1.4827586206896552,79.58620689655173,156,0,0
/global/archives/15687,Organic Search,42,38,26,1.6153846153846154,54.46153846153846,172,0,0
/global/archives/19149,Organic Search,42,44,34,1.2352941176470589,37.35294117647059,167,0,0
/global/archives/9740,Organic Search,42,46,39,1.0769230769230769,20.692307692307693,198,0,0
/global/archives/19393,Organic Search,41,44,33,1.2424242424242424,38.75757575757576,168,0,0
/global/archives/3820,Organic Search,41,44,30,1.3666666666666667,33.86666666666667,176,0,0
/global/archives/category/press-room/financial-results,Referral,38,22,20,1.9,47.7,144,0,0
/global/archives/16532,Organic Search,36,36,28,1.2857142857142858,45.07142857142857,163,0,0
/global/latestnews,Organic Social,36,37,3,12,65.66666666666667,153,0,0
/global/archives/16834,Organic Search,35,34,29,1.206896551724138,29.448275862068964,155,0,0
/global/archives/19078,Referral,35,36,29,1.206896551724138,49.275862068965516,154,0,0
/global/sustainability-report,Direct,34,33,33,1.0303030303030303,5.484848484848484,166,0,0
/global/archives/18283,Organic Search,33,30,27,1.2222222222222223,28.925925925925927,143,0,0
/global/archives/category/corporates/sk-earthon,Organic Search,33,24,20,1.65,26.7,130,0,0
/global/archives/19149,Referral,32,28,22,1.4545454545454546,41.72727272727273,121,0,0
/global/archives/19154,Direct,32,31,28,1.1428571428571428,44,131,0,0
/global/archives/3962,Organic Search,32,40,30,1.0666666666666667,19.833333333333332,162,0,0
/global/archives/4612,Organic Search,32,28,20,1.6,47.65,142,0,0
